"","colnames(df_sel)"
"75","Norm_Area_241018_IP_HAM-CSF_RP-pos_77_H040-15raw_(F73)"
"76","Norm_Area_241018_IP_HAM-CSF_RP-pos_78_H040-27raw_(F74)"
"77","Norm_Area_241018_IP_HAM-CSF_RP-pos_79_H040-39raw_(F75)"
"78","Norm_Area_241018_IP_HAM-CSF_RP-pos_80_H089-11raw_(F76)"
"79","Norm_Area_241018_IP_HAM-CSF_RP-pos_81_H089-23raw_(F77)"
"80","Norm_Area_241018_IP_HAM-CSF_RP-pos_82_H089-35raw_(F78)"
"81","Norm_Area_241018_IP_HAM-CSF_RP-pos_83_H089-47raw_(F79)"
"82","Norm_Area_241018_IP_HAM-CSF_RP-pos_84_QCraw_(F80)"
"83","Norm_Area_241018_IP_HAM-CSF_RP-pos_85_H040-4raw_(F81)"
"84","Norm_Area_241018_IP_HAM-CSF_RP-pos_86_H040-16raw_(F82)"
"85","Norm_Area_241018_IP_HAM-CSF_RP-pos_87_H040-28raw_(F83)"
"86","Norm_Area_241018_IP_HAM-CSF_RP-pos_88_H040-40raw_(F84)"
"87","Norm_Area_241018_IP_HAM-CSF_RP-pos_89_H089-12raw_(F85)"
"88","Norm_Area_241018_IP_HAM-CSF_RP-pos_90_H089-24raw_(F86)"
"89","Norm_Area_241018_IP_HAM-CSF_RP-pos_91_H089-36raw_(F87)"
"90","Norm_Area_241018_IP_HAM-CSF_RP-pos_92_H089-48raw_(F88)"
"91","Norm_Area_241018_IP_HAM-CSF_RP-pos_93_H040-5raw_(F89)"
"92","Norm_Area_241018_IP_HAM-CSF_RP-pos_94_H040-17raw_(F90)"
"93","Norm_Area_241018_IP_HAM-CSF_RP-pos_95_H040-29raw_(F91)"
"94","Norm_Area_241018_IP_HAM-CSF_RP-pos_96_H089-1raw_(F92)"
"95","Norm_Area_241018_IP_HAM-CSF_RP-pos_97_H089-13raw_(F93)"
"96","Norm_Area_241018_IP_HAM-CSF_RP-pos_98_H089-25raw_(F94)"
"97","Norm_Area_241018_IP_HAM-CSF_RP-pos_99_H089-37raw_(F95)"
"98","Norm_Area_241018_IP_HAM-CSF_RP-pos_100_H089-49raw_(F96)"
"99","Norm_Area_241018_IP_HAM-CSF_RP-pos_101_H040-6raw_(F97)"
"100","Norm_Area_241018_IP_HAM-CSF_RP-pos_102_H040-18raw_(F98)"
"101","Norm_Area_241018_IP_HAM-CSF_RP-pos_103_H040-30raw_(F99)"
"102","Norm_Area_241018_IP_HAM-CSF_RP-pos_104_H089-2raw_(F100)"
"103","Norm_Area_241018_IP_HAM-CSF_RP-pos_105_H089-14raw_(F101)"
"104","Norm_Area_241018_IP_HAM-CSF_RP-pos_106_H089-26raw_(F102)"
"105","Norm_Area_241018_IP_HAM-CSF_RP-pos_107_H089-38raw_(F103)"
"106","Norm_Area_241018_IP_HAM-CSF_RP-pos_108_H089-50raw_(F104)"
"107","Norm_Area_241018_IP_HAM-CSF_RP-pos_109_H040-7raw_(F105)"
"108","Norm_Area_241018_IP_HAM-CSF_RP-pos_110_H040-19raw_(F106)"
"109","Norm_Area_241018_IP_HAM-CSF_RP-pos_111_H040-31raw_(F107)"
"110","Norm_Area_241018_IP_HAM-CSF_RP-pos_112_H089-3raw_(F108)"
"111","Norm_Area_241018_IP_HAM-CSF_RP-pos_113_H089-15raw_(F109)"
"112","Norm_Area_241018_IP_HAM-CSF_RP-pos_114_H089-27raw_(F110)"
"113","Norm_Area_241018_IP_HAM-CSF_RP-pos_115_H089-39raw_(F111)"
"114","Norm_Area_241018_IP_HAM-CSF_RP-pos_116_H089-51raw_(F112)"
"115","Norm_Area_241018_IP_HAM-CSF_RP-pos_117_QCraw_(F113)"
"116","Norm_Area_241018_IP_HAM-CSF_RP-pos_118_H040-8raw_(F114)"
"117","Norm_Area_241018_IP_HAM-CSF_RP-pos_119_H040-20raw_(F115)"
