date,time,datetime,Tb,ID,Sample_nr
08/06/2023,18:15:19,08/06/2023 18:15,35.29,H040,
08/06/2023,18:30:19,08/06/2023 18:30,34.91,H040,
08/06/2023,18:45:20,08/06/2023 18:45,34.21,H040,
08/06/2023,19:00:22,08/06/2023 19:00,33.59,H040,
08/06/2023,19:15:23,08/06/2023 19:15,32.68,H040,
08/06/2023,19:30:20,08/06/2023 19:30,34.41,H040,
08/06/2023,19:45:21,08/06/2023 19:45,34.89,H040,
08/06/2023,20:00:21,08/06/2023 20:00,35.64,H040,
08/06/2023,20:15:22,08/06/2023 20:15,34.76,H040,
08/06/2023,20:30:22,08/06/2023 20:30,34.67,H040,
08/06/2023,20:45:23,08/06/2023 20:45,34.47,H040,
08/06/2023,21:00:25,08/06/2023 21:00,33.64,H040,
08/06/2023,21:15:26,08/06/2023 21:15,34.25,H040,
08/06/2023,21:30:27,08/06/2023 21:30,34.33,H040,
08/06/2023,21:45:28,08/06/2023 21:45,33.99,H040,
08/06/2023,22:00:29,08/06/2023 22:00,33.75,H040,
08/06/2023,22:15:31,08/06/2023 22:15,33.48,H040,
08/06/2023,22:30:30,08/06/2023 22:30,33.11,H040,
08/06/2023,22:45:28,08/06/2023 22:45,32.87,H040,
08/06/2023,23:00:27,08/06/2023 23:00,32.73,H040,
08/06/2023,23:15:27,08/06/2023 23:15,32.3,H040,
08/06/2023,23:30:26,08/06/2023 23:30,32.99,H040,
08/06/2023,23:45:24,08/06/2023 23:45,34.32,H040,
09/06/2023,00:00:25,09/06/2023 00:00,34.52,H040,
09/06/2023,00:15:26,09/06/2023 00:15,33.63,H040,
09/06/2023,00:30:28,09/06/2023 00:30,33.03,H040,
09/06/2023,00:45:27,09/06/2023 00:45,32.62,H040,
09/06/2023,01:00:26,09/06/2023 01:00,32.1,H040,
09/06/2023,01:15:25,09/06/2023 01:15,33.56,H040,
09/06/2023,01:30:23,09/06/2023 01:30,32.83,H040,
09/06/2023,01:45:21,09/06/2023 01:45,33.29,H040,
09/06/2023,02:00:20,09/06/2023 02:00,32.84,H040,
09/06/2023,02:15:20,09/06/2023 02:15,30.91,H040,
09/06/2023,02:30:21,09/06/2023 02:30,29.64,H040,
09/06/2023,02:45:23,09/06/2023 02:45,28.15,H040,
09/06/2023,03:00:23,09/06/2023 03:00,27.06,H040,
09/06/2023,03:15:23,09/06/2023 03:15,25.56,H040,
09/06/2023,03:30:25,09/06/2023 03:30,24.42,H040,
09/06/2023,03:45:33,09/06/2023 03:45,23.29,H040,
09/06/2023,04:00:34,09/06/2023 04:00,22.13,H040,
09/06/2023,04:15:43,09/06/2023 04:15,20.77,H040,
09/06/2023,04:30:42,09/06/2023 04:30,19.57,H040,
09/06/2023,04:45:43,09/06/2023 04:45,18.46,H040,
09/06/2023,05:00:52,09/06/2023 05:00,17.44,H040,
09/06/2023,05:16:01,09/06/2023 05:16,16.51,H040,
09/06/2023,05:31:01,09/06/2023 05:31,15.69,H040,
09/06/2023,05:46:01,09/06/2023 05:46,14.94,H040,
09/06/2023,06:01:01,09/06/2023 06:01,14.27,H040,
09/06/2023,06:16:10,09/06/2023 06:16,13.76,H040,
09/06/2023,06:31:18,09/06/2023 06:31,13.33,H040,
09/06/2023,06:46:20,09/06/2023 06:46,12.91,H040,
09/06/2023,07:01:26,09/06/2023 07:01,12.53,H040,
09/06/2023,07:16:33,09/06/2023 07:16,12.21,H040,
09/06/2023,07:31:41,09/06/2023 07:31,11.93,H040,
09/06/2023,07:46:48,09/06/2023 07:46,11.7,H040,
09/06/2023,08:01:56,09/06/2023 08:01,11.52,H040,
09/06/2023,08:17:04,09/06/2023 08:17,11.86,H040,
09/06/2023,08:32:03,09/06/2023 08:32,12.36,H040,
09/06/2023,08:47:10,09/06/2023 08:47,12.23,H040,
09/06/2023,09:02:17,09/06/2023 09:02,11.98,H040,
09/06/2023,09:17:25,09/06/2023 09:17,11.66,H040,
09/06/2023,09:32:33,09/06/2023 09:32,11.33,H040,
09/06/2023,09:47:42,09/06/2023 09:47,11,H040,
09/06/2023,10:02:50,09/06/2023 10:02,10.74,H040,
09/06/2023,10:17:58,09/06/2023 10:17,10.64,H040,
09/06/2023,10:33:06,09/06/2023 10:33,10.57,H040,
09/06/2023,10:48:14,09/06/2023 10:48,10.4,H040,
09/06/2023,11:03:21,09/06/2023 11:03,10.23,H040,
09/06/2023,11:18:29,09/06/2023 11:18,10.07,H040,
09/06/2023,11:33:37,09/06/2023 11:33,9.9,H040,
09/06/2023,11:48:45,09/06/2023 11:48,9.75,H040,
09/06/2023,12:03:53,09/06/2023 12:03,9.65,H040,
09/06/2023,12:19:01,09/06/2023 12:19,9.59,H040,
09/06/2023,12:34:08,09/06/2023 12:34,9.46,H040,
09/06/2023,12:49:16,09/06/2023 12:49,9.37,H040,
09/06/2023,13:04:24,09/06/2023 13:04,9.29,H040,
09/06/2023,13:19:32,09/06/2023 13:19,9.24,H040,
09/06/2023,13:34:40,09/06/2023 13:34,9.18,H040,
09/06/2023,13:49:48,09/06/2023 13:49,9.1,H040,
09/06/2023,14:04:55,09/06/2023 14:04,9.06,H040,
09/06/2023,14:20:03,09/06/2023 14:20,8.96,H040,
09/06/2023,14:35:11,09/06/2023 14:35,8.9,H040,
09/06/2023,14:50:19,09/06/2023 14:50,8.85,H040,
09/06/2023,15:05:24,09/06/2023 15:05,8.78,H040,
09/06/2023,15:20:30,09/06/2023 15:20,8.72,H040,
09/06/2023,15:35:35,09/06/2023 15:35,8.66,H040,
09/06/2023,15:50:41,09/06/2023 15:50,8.64,H040,
09/06/2023,16:05:46,09/06/2023 16:05,8.59,H040,
09/06/2023,16:20:51,09/06/2023 16:20,8.6,H040,
09/06/2023,16:35:57,09/06/2023 16:35,8.58,H040,
09/06/2023,16:51:02,09/06/2023 16:51,8.53,H040,
09/06/2023,17:06:09,09/06/2023 17:06,8.5,H040,
09/06/2023,17:21:16,09/06/2023 17:21,8.47,H040,
09/06/2023,17:36:23,09/06/2023 17:36,8.42,H040,
09/06/2023,17:51:30,09/06/2023 17:51,8.41,H040,
09/06/2023,18:06:37,09/06/2023 18:06,8.37,H040,
09/06/2023,18:21:44,09/06/2023 18:21,8.37,H040,
09/06/2023,18:36:51,09/06/2023 18:36,8.32,H040,
09/06/2023,18:51:59,09/06/2023 18:51,8.3,H040,
09/06/2023,19:07:06,09/06/2023 19:07,8.28,H040,
09/06/2023,19:22:13,09/06/2023 19:22,8.24,H040,
09/06/2023,19:37:20,09/06/2023 19:37,8.22,H040,
09/06/2023,19:52:27,09/06/2023 19:52,8.17,H040,
09/06/2023,20:07:34,09/06/2023 20:07,8.15,H040,
09/06/2023,20:22:41,09/06/2023 20:22,8.08,H040,
09/06/2023,20:37:48,09/06/2023 20:37,8.07,H040,
09/06/2023,20:52:55,09/06/2023 20:52,8.05,H040,
09/06/2023,21:08:02,09/06/2023 21:08,8.01,H040,
09/06/2023,21:23:09,09/06/2023 21:23,7.97,H040,
09/06/2023,21:38:16,09/06/2023 21:38,7.94,H040,
09/06/2023,21:53:23,09/06/2023 21:53,7.94,H040,
09/06/2023,22:08:30,09/06/2023 22:08,7.92,H040,
09/06/2023,22:23:37,09/06/2023 22:23,7.92,H040,
09/06/2023,22:38:44,09/06/2023 22:38,7.92,H040,
09/06/2023,22:53:52,09/06/2023 22:53,7.9,H040,
09/06/2023,23:08:59,09/06/2023 23:08,7.89,H040,
09/06/2023,23:24:06,09/06/2023 23:24,8.15,H040,
09/06/2023,23:39:13,09/06/2023 23:39,8.35,H040,
