"sample_nr","tb_mean","variable","value"
3,35,"Tiglylcarnitine",0.774758540576873
4,30.9,"Tiglylcarnitine",0.812962680510768
5,24.3,"Tiglylcarnitine",0.75519060319715
6,18.1,"Tiglylcarnitine",0.434005912216544
7,13,"Tiglylcarnitine",0.567076390438534
8,10.7,"Tiglylcarnitine",-1.73600445847327
9,10,"Tiglylcarnitine",-0.0545907520552656
10,9.3,"Tiglylcarnitine",-0.199997409597658
11,8.9,"Tiglylcarnitine",0.0342846751957189
12,8.8,"Tiglylcarnitine",0.0193944855654294
13,8.7,"Tiglylcarnitine",0.00458413145972452
14,8.7,"Tiglylcarnitine",0.10809530579462
15,8.6,"Tiglylcarnitine",0.330438696776084
16,8.6,"Tiglylcarnitine",0.0496754881217176
17,8.8,"Tiglylcarnitine",-0.0298939116800683
18,9,"Tiglylcarnitine",-0.221450222521805
19,9.2,"Tiglylcarnitine",0.112449870427527
20,9.4,"Tiglylcarnitine",0.152996818889237
21,9.7,"Tiglylcarnitine",-0.118889599771901
22,10,"Tiglylcarnitine",0.0619482216753743
23,10,"Tiglylcarnitine",-0.123021692116848
24,9.9,"Tiglylcarnitine",0.0387385823410103
25,9.9,"Tiglylcarnitine",0.147395891376976
26,10.1,"Tiglylcarnitine",0.134894611461949
27,10.5,"Tiglylcarnitine",0.0654150222969821
28,11.6,"Tiglylcarnitine",0.0625871473814559
29,30.9,"Tiglylcarnitine",0.572722506711382
30,34.4,"Tiglylcarnitine",0.933557310189173
31,34.9,"Tiglylcarnitine",1.35656617405858
32,34.5,"Tiglylcarnitine",0.943636330066022
33,34.2,"Tiglylcarnitine",0.498827052769204
34,34.5,"Tiglylcarnitine",0.536491020073074
35,33.9,"Tiglylcarnitine",0.555102351311452
36,34.1,"Tiglylcarnitine",0.474616630400456
37,34.1,"Tiglylcarnitine",0.720698033635769
38,34.4,"Tiglylcarnitine",0.83708452309181
39,33.9,"Tiglylcarnitine",0.942326330043565
40,33.7,"Tiglylcarnitine",0.8495855795793
41,33.5,"Tiglylcarnitine",0.779718002531825
42,33.5,"Tiglylcarnitine",0.76181679189567
43,34.1,"Tiglylcarnitine",1.39387445589555
44,33.9,"Tiglylcarnitine",1.76733056743959
45,32.3,"Tiglylcarnitine",0.553597308760103
46,28.6,"Tiglylcarnitine",0.631194580035595
47,22.5,"Tiglylcarnitine",0.203768028239585
48,15.6,"Tiglylcarnitine",0.411649021728945
49,12.8,"Tiglylcarnitine",0.572352968661626
50,12.3,"Tiglylcarnitine",0.475940486597008
51,11.5,"Tiglylcarnitine",0.417211814298708
52,11.2,"Tiglylcarnitine",0.251764030552812
53,10.8,"Tiglylcarnitine",0.0446069094538367
54,10.4,"Tiglylcarnitine",0.177441375440627
55,10.2,"Tiglylcarnitine",0.361228306837722
56,10,"Tiglylcarnitine",0.516335560269032
57,9.7,"Tiglylcarnitine",0.248808670068939
58,9.3,"Tiglylcarnitine",-0.383343243416081
59,9.1,"Tiglylcarnitine",0.0747693666140407
60,8.9,"Tiglylcarnitine",0.111628678494855
61,8.6,"Tiglylcarnitine",-0.139116201725657
62,8.5,"Tiglylcarnitine",0.170820694849747
63,8.3,"Tiglylcarnitine",0.035561067799705
64,8.1,"Tiglylcarnitine",-1.40482685446904
65,7.9,"Tiglylcarnitine",0.0366614250281341
66,7.7,"Tiglylcarnitine",0.101232335884195
67,7.6,"Tiglylcarnitine",0.367785536471311
68,7.5,"Tiglylcarnitine",0.296515628766136
69,7.5,"Tiglylcarnitine",0.355424117845289
70,7.5,"Tiglylcarnitine",-0.0375084588726166
71,7.5,"Tiglylcarnitine",0.533866218733539
72,7.7,"Tiglylcarnitine",-0.399518387566831
73,7.9,"Tiglylcarnitine",0.0431412863181405
74,8,"Tiglylcarnitine",0.0455697693284715
75,8,"Tiglylcarnitine",-0.0564207151191468
76,7.8,"Tiglylcarnitine",-1.10439541542199
77,7.7,"Tiglylcarnitine",0.0812416531576204
78,7.6,"Tiglylcarnitine",-0.0942898041632964
79,7.6,"Tiglylcarnitine",0.195723534185755
80,7.6,"Tiglylcarnitine",0.110559929628881
81,7.6,"Tiglylcarnitine",0.193933717426214
82,15,"Tiglylcarnitine",0.355831697471508
83,34.3,"Tiglylcarnitine",0.396004921229961
84,34.4,"Tiglylcarnitine",0.439277349278105
85,34.4,"Tiglylcarnitine",0.386807974794878
86,34.4,"Tiglylcarnitine",0.575113227888088
87,34.7,"Tiglylcarnitine",0.209679518123002
88,34.3,"Tiglylcarnitine",-1.02300632711665
