"","tag","Metabolite","Max_Correlation","mean_top5","min_top5","Lag","ci_lower","ci_upper","significant","Phase_deg","Phase_rad","Timing","Amplitude"
"1","D","Dl-Glutamine",0.873837399401839,0.835054210421716,0.779705656837933,0,-0.277866570525084,0.2731210318872,TRUE,0,0,"Synchronous",1.88364651037062
"2","A","Phenylalanine",0.869923610550816,0.819894451085946,0.767782079551725,0,-0.27455833243178,0.274167380626446,TRUE,0,0,"Synchronous",2.14524200791835
"3","E","119.07355/1.616",0.868548982258049,0.820109599149141,0.770530900626675,0,-0.277243836713251,0.27404286160516,TRUE,0,0,"Synchronous",2.08448997878029
"4","F","Paracetamol Sulfate",0.866045838161612,0.814552610152949,0.753008750292116,0,-0.279230081944811,0.279316640203367,TRUE,0,0,"Synchronous",1.98749518471142
"5","F","102.04701/1.615",0.865811731159787,0.816703513818433,0.769797456488347,0,-0.276133325615374,0.275791287409398,TRUE,0,0,"Synchronous",2.12639155818777
"6","F","Phenyl Sulfoxide",0.859532861315968,0.807762222781873,0.762989936508594,0,-0.277816606655933,0.272134782660055,TRUE,0,0,"Synchronous",2.00905984933336
"7","D","Cytosine",0.858998617132316,0.811498715125762,0.745772377626776,0,-0.282686024334225,0.274288612406194,TRUE,0,0,"Synchronous",2.17473003036901
"8","F","253.1791/4.779",0.854820707561285,0.799777680092937,0.727261754281941,0,-0.279958888437985,0.276257920252577,TRUE,0,0,"Synchronous",1.8393125884775
"9","D","Methdilazine",0.848094122397321,0.828526897483489,0.793387002715627,24,-0.276852906084015,0.278494090185736,TRUE,166.153846153846,2.89993168023673,"After Tb",1.31285354687604
"10","D","Coumarin",0.840438133808138,0.788612274058483,0.732746623384926,0,-0.279497413142406,0.275850355656046,TRUE,0,0,"Synchronous",1.95705893384647
"11","A","Creatine",0.839867873162667,0.782797072351083,0.707048097106105,0,-0.27913768480243,0.274884996813547,TRUE,0,0,"Synchronous",2.19520458645834
"12","D","3-Carboxyindole",0.830425557422392,0.798731730716247,0.763256253661568,0,-0.275571894121068,0.276516513307604,TRUE,0,0,"Synchronous",1.825746570243
"13","D","Bendiocarb",0.824246778396589,0.801067933064571,0.771287967660542,25,-0.279832419441079,0.280171969678289,TRUE,173.076923076923,3.02076216691326,"After Tb",1.9967171829363
"14","C","Creatinine",0.818065908274759,0.778351223954197,0.732455551912302,0,-0.273905419773569,0.276097256780115,TRUE,0,0,"Synchronous",1.93633348016725
"15","D","N-Acetyl-L-Glutamic Acid",0.812249249690953,0.767779089441021,0.727321474216496,0,-0.278209260134372,0.27526459247064,TRUE,0,0,"Synchronous",1.69111215407379
"16","D","()-(Î)-Kainic A",0.812219726095048,0.794121454628298,0.761282032267899,1,-0.268462470906242,0.27202010044435,TRUE,6.92307692307692,0.120830486676531,"Synchronous",2.55299840336421
"17","F","274.15295/10.902",0.812208785534601,0.793014535581086,0.771773147368661,25,-0.277528736008677,0.278396485578821,TRUE,173.076923076923,3.02076216691326,"After Tb",1.38242839448776
"18","F","298.11661/4.32",0.806528635005332,0.77770380746112,0.739861400763396,0,-0.271094949554966,0.275766235722251,TRUE,0,0,"Synchronous",2.13760909086105
"19","F","93.99346/0.963",0.806222495079868,0.763063079641273,0.719455382442344,0,-0.277636029932203,0.27557784709216,TRUE,0,0,"Synchronous",1.70350181450707
"20","F","Methylenediurea",0.806098974944409,0.785455469008154,0.758307078478742,24,-0.279514497767704,0.28170472207042,TRUE,166.153846153846,2.89993168023673,"After Tb",1.34788358038593
"21","D","Pilocarpine",0.805808305768947,0.78344175655775,0.759776951670246,0,-0.274769774810195,0.276516135359119,TRUE,0,0,"Synchronous",1.89531621943449
"22","F","306.24074/6.98",0.804511713143455,0.777254862554368,0.735025826556496,0,-0.270156298631364,0.273998915717291,TRUE,0,0,"Synchronous",2.15030329170376
"23","F","210.08686/3.606",0.801186193168812,0.756040817272655,0.713494457765239,0,-0.277384341160208,0.276424555385979,TRUE,0,0,"Synchronous",2.7669306333818
"24","F","198.12567/4.402",0.799985644441505,0.753750400824704,0.702352484637773,0,-0.278160026362305,0.273248021731719,TRUE,0,0,"Synchronous",1.52243216874229
"25","F","Dl-Ala-Dl-Leu",0.796209918694122,0.750768586709128,0.709865503724296,0,-0.281555296683024,0.276125307583458,TRUE,0,0,"Synchronous",2.1831112893933
"26","D","Phenylethyl Alcohol",0.792236102406733,0.745453639663651,0.694932915348185,0,-0.274535393715995,0.274941459714724,TRUE,0,0,"Synchronous",2.00196025557321
"27","F","254.16313/5.419",0.791809907608539,0.740966551204174,0.674887632103207,0,-0.281320927632211,0.274401686418877,TRUE,0,0,"Synchronous",1.99691437568902
"28","D","Dl-Carnitine",0.790639372599414,0.742593541061583,0.676306589530604,0,-0.282531689933944,0.274720634689101,TRUE,0,0,"Synchronous",1.56983369680357
"29","F","369.2518/12.877",0.789816996721208,0.746578890304609,0.681364402822338,0,-0.274548997909643,0.279921313755561,TRUE,0,0,"Synchronous",1.72566658584903
"30","F","197.14167/2.44",0.788280779851233,0.772009720761593,0.75378876053438,24,-0.280921093023596,0.280074275390651,TRUE,166.153846153846,2.89993168023673,"After Tb",1.53700254757008
"31","F","Lys-Leu",0.786567576152447,0.768337072704128,0.74697424822485,25,-0.280125357355211,0.278755281676255,TRUE,173.076923076923,3.02076216691326,"After Tb",1.58795655672669
"32","B","3,5-Di-Tert-Butyl-4-Hydroxybenzaldehyde",0.784630626219239,0.73440288507592,0.664230978082462,0,-0.276705982274912,0.274330644487307,TRUE,0,0,"Synchronous",2.0012592805709
"33","F","262.11817/5.207",0.777811509448131,0.745996581725012,0.69748401725655,0,-0.274422950419638,0.273656235991278,TRUE,0,0,"Synchronous",2.18452495728545
"34","F","299.22101/7.53",0.774582033371673,0.727764910503399,0.683593267365502,0,-0.279552936569766,0.281354515506443,TRUE,0,0,"Synchronous",2.04504286444805
"35","E","343.17456/3.315",0.773219855161138,0.754296811041594,0.717369767205101,2,-0.263037038005833,0.275522220136176,TRUE,13.8461538461538,0.241660973353061,"Synchronous",2.34772308950486
"36","A","Tyrosine",0.770061967413359,0.719665482950888,0.653031066503289,0,-0.276455252605875,0.278581966188177,TRUE,0,0,"Synchronous",2.30421726017718
"37","D","Carboxyibuprofen",0.76994322853275,0.734137603944878,0.687961264631971,-1,-0.275020997610014,0.276863667430116,TRUE,353.076923076923,6.16235482050306,"Synchronous",1.99230650777255
"38","F","234.18319/5.271",0.768513259555132,0.743480671152793,0.700560329830207,0,-0.269334710490289,0.276473771356962,TRUE,0,0,"Synchronous",2.26867527701171
"39","F","154.04667/1.163",0.767645586915236,0.750792618352841,0.72227390903824,24,-0.280326191429267,0.280676222520437,TRUE,166.153846153846,2.89993168023673,"After Tb",1.41840473709681
"40","F","239.13695/2.807",0.767429159604724,0.750269356773501,0.72429782934238,25,-0.280025556047239,0.273323379252013,TRUE,173.076923076923,3.02076216691326,"After Tb",1.54955702344039
"41","F","254.1631/7.531",0.76661038982235,0.717349109566023,0.667961390421995,0,-0.278697087240761,0.278108211676508,TRUE,0,0,"Synchronous",2.3728019976448
"42","F","271.17845/6.301",0.75157351701282,0.714869735611994,0.675537065271654,0,-0.276284379602856,0.275441808854595,TRUE,0,0,"Synchronous",1.87874674061741
"43","D","3-Acetyl-2,5-Dimethylfuran",0.751351415498268,0.711931873743671,0.663737693301083,0,-0.276736854223644,0.273054556581945,TRUE,0,0,"Synchronous",2.04834988632149
"44","F","236.11376/3.671",0.742670167193543,0.723580790631872,0.695472402043283,25,-0.277932077852323,0.279601522290434,TRUE,173.076923076923,3.02076216691326,"After Tb",1.51707129874813
"45","F","366.14305/7.896",0.741686998243441,0.728860304123409,0.702943967725037,0,-0.269352900015238,0.272496294065538,TRUE,0,0,"Synchronous",2.24088244944857
"46","D","Dethiobiotin",0.739795847384888,0.72079580222568,0.692416940616005,25,-0.27917758839196,0.279005046234961,TRUE,173.076923076923,3.02076216691326,"After Tb",1.51742014602913
"47","D","Dopamine",0.736302537201466,0.695546535400116,0.654946482201337,0,-0.274278926523074,0.275144194351454,TRUE,0,0,"Synchronous",2.31575908042701
"48","F","280.13997/2.498",0.735113364254709,0.716481733120746,0.687762061917912,24,-0.283651481194575,0.278074751393543,TRUE,166.153846153846,2.89993168023673,"After Tb",1.49057169320639
"49","F","Rhizocticin B",0.733626753543312,0.707339510329269,0.659469670174567,2,-0.26690399538934,0.275015262398818,TRUE,13.8461538461538,0.241660973353061,"Synchronous",2.27250615192002
"50","F","266.13666/3.421",0.730148377928118,0.71653969070053,0.695545511521684,25,-0.279900257083362,0.277394082281879,TRUE,173.076923076923,3.02076216691326,"After Tb",1.78630837204638
"51","F","269.16277/7.064",0.722292133553785,0.698463808012031,0.673374993044417,0,-0.277516588915093,0.273456349918115,TRUE,0,0,"Synchronous",1.68344964668369
"52","F","Thiomorpholine-3-Carboxylic Acid",0.721283672622846,0.678423512599546,0.618080970358688,0,-0.28009401016871,0.286257067196378,TRUE,0,0,"Synchronous",1.6859461750642
"53","C","Pyridoxal",0.721106454736508,0.694776387731909,0.674896884250159,-1,-0.279837796593937,0.275608540242171,TRUE,353.076923076923,6.16235482050306,"Synchronous",1.86392811459692
"54","F","483.29497/3.914",0.718060199290025,0.671162196015917,0.620485383907322,0,-0.274032542011136,0.277353047525978,TRUE,0,0,"Synchronous",2.21058120351544
"55","F","491.21589/8.095",0.716104805692213,0.700240180539164,0.678316033672503,3,-0.264362612725361,0.27724872034081,TRUE,20.7692307692308,0.362491460029592,"After Tb",2.65067658875791
"56","F","370.17439/6.038",0.716068371950196,0.696988066063166,0.674416420300197,1,-0.264742397411879,0.274386827935715,TRUE,6.92307692307692,0.120830486676531,"Synchronous",2.44805671044813
"57","F","183.19873/6.489",0.713805350266073,0.69959874889394,0.691764416867626,26,-0.278493868033632,0.277107649316343,TRUE,180,3.14159265358979,"Precedes Tb",2.59739862507139
"58","D","Isopropyl Î-D-Galactopyranosid",0.713386086795891,0.691872038397366,0.6685346634251,-25,-0.276085183038187,0.280374898622206,TRUE,186.923076923077,3.26242314026632,"Precedes Tb",1.61649615675802
"59","D","Piracetam",0.709667489098143,0.676390129228819,0.642412104809719,-1,-0.275114503776667,0.280460628445178,TRUE,353.076923076923,6.16235482050306,"Synchronous",3.87257286657267
"60","F","252.19511/6.947",0.709439030648364,0.685939416145116,0.653055145669494,-26,-0.273017883018708,0.274334093019478,TRUE,180,3.14159265358979,"Precedes Tb",1.60623029553747
"61","F","Fructoselysine 6-Phosphate",0.70908515318484,0.697537042786457,0.682633788993085,2,-0.268303165209372,0.273738839818651,TRUE,13.8461538461538,0.241660973353061,"Synchronous",2.24237267164745
"62","B","N-Acetyl-L-Glutamine",0.708909728666676,0.697632283679336,0.684515582060251,23,-0.273229672077165,0.275948020707449,TRUE,159.230769230769,2.7791011935602,"After Tb",2.00814316415815
"63","D","Np-020214",0.707651441824267,0.679279647581181,0.648409262707546,0,-0.270069312682097,0.274112554116875,TRUE,0,0,"Synchronous",2.34401697325627
"64","F","240.0974/2.213",0.707381318360623,0.673645583895284,0.624314373573323,0,-0.275011175232714,0.273255925858802,TRUE,0,0,"Synchronous",2.24407637636872
"65","D","Dodecanedioic Acid",0.704662554970811,0.647291107145465,0.57197744482449,-1,-0.277442004154953,0.273170387667811,TRUE,353.076923076923,6.16235482050306,"Synchronous",1.35420672563277
"66","F","182.10559/1.858",0.701829106478453,0.678763703749276,0.647100716821719,-1,-0.279719623187305,0.280412411687863,TRUE,353.076923076923,6.16235482050306,"Synchronous",2.14394523409079
"67","C","Pregabalin",0.700410214869987,0.647025271727076,0.599695042809569,1,-0.274008000328915,0.274564387842958,TRUE,6.92307692307692,0.120830486676531,"Synchronous",2.08929353336808
"68","F","1,3-Dihydroxy-2-Propanyl (13z,16z)-13,16-Docosadienoate",0.70019003148405,0.657865673222181,0.617015885311945,0,-0.278314099047356,0.275417237847725,TRUE,0,0,"Synchronous",2.01117663723212
"69","F","231.18348/4.514",0.698743370267644,0.668201595024872,0.634041949462104,0,-0.280268870572747,0.28110001300765,TRUE,0,0,"Synchronous",2.40555712049553
"70","F","305.25669/11.937",0.696948549920319,0.665976606961007,0.628306515542249,0,-0.26883898735217,0.273786033053299,TRUE,0,0,"Synchronous",2.34263355415256
"71","F","213.17293/4.514",0.692171872643143,0.666104269262615,0.646150446562339,-1,-0.280874625056528,0.281952046494162,TRUE,353.076923076923,6.16235482050306,"Synchronous",2.46405385887526
"72","F","Pirbuterol",0.69190024252199,0.652279590688979,0.602081104265695,0,-0.285003907403591,0.276496354979888,TRUE,0,0,"Synchronous",2.07911507026485
"73","F","250.08181/3.969",0.69076616035051,0.671825699429486,0.63915681216233,24,-0.271012603922039,0.280734357882714,TRUE,166.153846153846,2.89993168023673,"After Tb",2.49516946749054
