"","Metabolite","Max_Correlation","mean_top5","min_top5","Lag","ci_lower","ci_upper","significant","Phase_deg","Phase_rad","Timing","Amplitude"
"65","3-Oxo-C12-Hsl",0.649984934660329,0.607053216838768,0.551349242860542,0,-0.233306378906425,0.220546046270322,TRUE,0,0,"Synchronous",1.52290399021497
"66","277.18899/4.663",0.649403982673498,0.615840319181808,0.567251596513073,1,-0.238814700538567,0.236760792023775,TRUE,6.92307692307692,0.120830486676531,"Synchronous",1.78208130715899
"67","Amdoxovir",0.648707416653658,0.600851012954937,0.549597728197873,-19,-0.239122914787078,0.243445920633813,TRUE,228.461538461538,3.98740606032551,"Precedes Tb",1.87121203196355
"68","475.90027/0.872",0.648170409628952,0.596230660012479,0.525983779053844,1,-0.240545752141224,0.241196796057752,TRUE,6.92307692307692,0.120830486676531,"Synchronous",1.74100997776809
"69","589.21641/8.794",0.647035691852811,0.573213426101429,0.505931812862018,0,-0.210642924178478,0.22462666212797,TRUE,0,0,"Synchronous",3.00940976177956
"70","(E,E)-2,4-Dodecadienal",0.646982289729041,0.570701897796555,0.471794186666973,0,-0.236312732867376,0.248088508065704,TRUE,0,0,"Synchronous",2.52031906378202
"71","361.91948/0.878",0.645991139930754,0.601253035648361,0.540092714020743,1,-0.230030851691852,0.231495768505664,TRUE,6.92307692307692,0.120830486676531,"Synchronous",2.45132656436123
"72","277.189/4.43",0.642120296001484,0.620030325358096,0.600776381649515,2,-0.236803660403713,0.240622019058693,TRUE,13.8461538461538,0.241660973353061,"Synchronous",1.47840341449498
"73","Ndct",0.639596467827679,0.588363767438898,0.519165038063436,0,-0.225668398793083,0.225341062154763,TRUE,0,0,"Synchronous",1.78550408755067
"74","565.88233/0.876",0.639300605629587,0.597730620600816,0.542411600448491,1,-0.230513683115293,0.230500329182155,TRUE,6.92307692307692,0.120830486676531,"Synchronous",2.09525259085604
"75","497.8947/0.877",0.634936533493518,0.589996377483198,0.517940347972691,1,-0.233954799574843,0.229485781885624,TRUE,6.92307692307692,0.120830486676531,"Synchronous",1.90046383947882
"76","378.29844/8.477",0.634889949505189,0.565944509406688,0.483849187486251,0,-0.221578206246,0.226271498942862,TRUE,0,0,"Synchronous",2.22561499626296
"77","()-Selegilin",0.631913718838268,0.604820453307032,0.579072707332426,-20,-0.239659190643294,0.234075140490401,TRUE,221.538461538462,3.86657557364898,"Precedes Tb",1.93456745227413
"78","Isopropyl Î-D-Galactopyranosid",0.629409688726544,0.620206498744046,0.610419541594995,-20,-0.243299692936395,0.247083579094648,TRUE,221.538461538462,3.86657557364898,"Precedes Tb",1.61649615675802
"79","Kynurenine",0.62856130942462,0.583698335982039,0.518298385932167,0,-0.221962557028596,0.229461192590644,TRUE,0,0,"Synchronous",3.12390693847166
"80","Pregabalin",0.628532286088186,0.57761119347451,0.509244458675066,0,-0.240741519238224,0.244204482485453,TRUE,0,0,"Synchronous",2.08929353336808
"81","Eugenol",0.625302472631252,0.58013937112694,0.514872223759641,0,-0.229593991804812,0.22728009074561,TRUE,0,0,"Synchronous",1.42642605706408
"82","273.93492/0.873",0.624790190338652,0.58755688115473,0.539768110227869,1,-0.238310048214178,0.235274002398965,TRUE,6.92307692307692,0.120830486676531,"Synchronous",1.38095585924501
"83","N,N-Diisopropylethylamine (Dipea)",0.62360163445267,0.607828512103348,0.595470774268988,-20,-0.240939141941301,0.242742218266199,TRUE,221.538461538462,3.86657557364898,"Precedes Tb",1.59961552162922
"84","199.13216/1.628",0.622055985093671,0.608348464233204,0.582459019792261,-21,-0.238938939717526,0.237023159293129,TRUE,214.615384615385,3.74574508697245,"Precedes Tb",1.67722472326613
"85","266.13666/3.421",0.620836238264763,0.602723661883752,0.575774470495689,-20,-0.243438543074379,0.241245761918658,TRUE,221.538461538462,3.86657557364898,"Precedes Tb",1.78630837204638
"86","339.92503/0.873",0.619914895216444,0.578663535555204,0.523029795189539,1,-0.234697252213524,0.233371102823494,TRUE,6.92307692307692,0.120830486676531,"Synchronous",1.8629598255603
"87","Lys-Leu",0.619271317145015,0.592145584865189,0.560837935553209,-20,-0.243470908221358,0.238585994542387,TRUE,221.538461538462,3.86657557364898,"Precedes Tb",1.58795655672669
"88","239.13695/2.807",0.618343389196139,0.599644856533569,0.574020096705545,-20,-0.238325253376489,0.242031050135399,TRUE,221.538461538462,3.86657557364898,"Precedes Tb",1.54955702344039
"89","Dodecanedioic Acid",0.617197692026726,0.563313534264557,0.51595957151896,-1,-0.226182536047005,0.224206053482535,TRUE,353.076923076923,6.16235482050306,"Synchronous",1.35420672563277
"90","236.13888/9.024",0.61562006321424,0.576184135195944,0.520854575410828,-1,-0.224042317937827,0.212870403826277,TRUE,353.076923076923,6.16235482050306,"Synchronous",2.13609809735897
"91","239.12464/1.624",0.611451229896969,0.599197253069794,0.572425372909449,-22,-0.233849305811429,0.238451753214174,TRUE,207.692307692308,3.62491460029591,"Precedes Tb",1.61577147713403
"92","483.29497/3.914",0.607015175543832,0.576800569919364,0.531163467649546,0,-0.236717483686127,0.240683859271335,TRUE,0,0,"Synchronous",2.21058120351544
"93","278.17305/7.026",0.605057251547114,0.586812994961799,0.558790328273048,-21,-0.241416136806709,0.241315686007383,TRUE,214.615384615385,3.74574508697245,"Precedes Tb",1.68571123218917
"94","249.94296/0.852",0.6022672524985,0.543897911910628,0.485653607433245,1,-0.243082230901861,0.245737963281117,TRUE,6.92307692307692,0.120830486676531,"Synchronous",2.01549187395419
"95","194.09195/6.011",0.600772912829579,0.566467080168988,0.513813796902208,0,-0.232656129097773,0.234989137364475,TRUE,0,0,"Synchronous",1.35149853625448
"96","274.15295/10.902",0.599893493428966,0.582778811843802,0.568916734935086,-20,-0.238065123456677,0.236360483811924,TRUE,221.538461538462,3.86657557364898,"Precedes Tb",1.38242839448776
"97","157.08529/1.355",0.598473376074385,0.579348159730902,0.555338831987269,-20,-0.246329690175788,0.240351380463859,TRUE,221.538461538462,3.86657557364898,"Precedes Tb",1.67769785863103
"98","N-Acetyl-L-Aspartic Acid",0.598114890432108,0.553447022393942,0.50086186504527,0,-0.231340943091327,0.24554362445271,TRUE,0,0,"Synchronous",2.8964460716357
"99","Glutarimide",0.596079402400313,0.569794076226467,0.53518838699877,-1,-0.235243496173704,0.238681203836693,TRUE,353.076923076923,6.16235482050306,"Synchronous",2.16616496401328
"100","197.14167/2.44",0.594914348938185,0.568540184753369,0.538018731414323,-19,-0.245095812500392,0.238752264075506,TRUE,228.461538461538,3.98740606032551,"Precedes Tb",1.53700254757008
"101","543.88768/0.872",0.594889549620128,0.555939183880464,0.504268719563897,1,-0.234350572893299,0.238317502225486,TRUE,6.92307692307692,0.120830486676531,"Synchronous",2.01716966758512
"102","Methylenediurea",0.594817492721445,0.578706561361463,0.54351978433628,-20,-0.241882976598507,0.240011051864064,TRUE,221.538461538462,3.86657557364898,"Precedes Tb",1.34788358038593
"103","280.13997/2.498",0.594613560714997,0.570449898747598,0.544343688231161,-19,-0.243822397069237,0.239142544661565,TRUE,228.461538461538,3.98740606032551,"Precedes Tb",1.49057169320639
"104","Dethiobiotin",0.594539507113549,0.574869910705529,0.550809661064024,-20,-0.243667043102625,0.242500873740266,TRUE,221.538461538462,3.86657557364898,"Precedes Tb",1.51742014602913
"105","236.11376/3.671",0.594419743218574,0.574758280795133,0.550682545087425,-20,-0.243593491628753,0.242094310223508,TRUE,221.538461538462,3.86657557364898,"Precedes Tb",1.51707129874813
"106","234.1468/4.701",0.593388007392061,0.542684026497817,0.488071329661264,0,-0.23112085881275,0.238832409422217,TRUE,0,0,"Synchronous",2.25297631201396
"107","296.16015/7.585",0.59060316579163,0.553739213347758,0.500350289872748,-1,-0.219473443495534,0.214518036615452,TRUE,353.076923076923,6.16235482050306,"Synchronous",2.27535189428764
"108","C8-Hsl",0.588781246569678,0.565830386882903,0.52870652145156,1,-0.242933223028862,0.231771096498282,TRUE,6.92307692307692,0.120830486676531,"Synchronous",1.57533463567538
"109","491.21589/8.095",0.587817521953121,0.519384828780099,0.448798541893031,0,-0.213267845475473,0.236851168188293,TRUE,0,0,"Synchronous",2.65067658875791
"110","Metharbital",0.584763195675472,0.550046553423146,0.507911454196818,0,-0.243466048201765,0.249837743272803,TRUE,0,0,"Synchronous",2.26315112971507
"111","Decanohydroxamic Acid",0.582133303701003,0.529480408337798,0.470871322395249,0,-0.236570758189573,0.245660047784171,TRUE,0,0,"Synchronous",2.31081736291153
"112","240.09742/3.626",0.578724736982841,0.546370325039459,0.483288770392236,0,-0.246306692610425,0.248565317761425,TRUE,0,0,"Synchronous",2.41406268391483
"113","611.8756/0.871",0.576631672122109,0.523780420493404,0.454730578919574,1,-0.237647844692134,0.236172900277069,TRUE,6.92307692307692,0.120830486676531,"Synchronous",2.18043057781277
"114","Leu-Gln",0.57512834668081,0.551934828609095,0.532582434174152,-19,-0.23898670691107,0.244394507945155,TRUE,228.461538461538,3.98740606032551,"Precedes Tb",1.66295835885274
"115","Moxnidazole",0.5715067410548,0.542993326831654,0.492448711033115,-18,-0.23539882614097,0.235035601988398,TRUE,235.384615384615,4.10823654700204,"Precedes Tb",1.57645423683726
"116","(S)-Piperazine-2-Carboxylic Acid",0.570249151623599,0.5330764492282,0.464862513401778,1,-0.233377719740921,0.244489108456895,TRUE,6.92307692307692,0.120830486676531,"Synchronous",2.2209137531824
"117","305.18397/7.614",0.568191479675307,0.533206061901899,0.483607080398743,-1,-0.224493756874052,0.223299465489022,TRUE,353.076923076923,6.16235482050306,"Synchronous",1.63666512344866
"118","179.9886/1.109",0.567294422332251,0.533046453323931,0.484013550087485,-1,-0.227075397578289,0.228355967281399,TRUE,353.076923076923,6.16235482050306,"Synchronous",2.21991891139261
"119","154.04667/1.163",0.56719829766552,0.55848695165772,0.547528475193969,-20,-0.239797048546924,0.241094635167683,TRUE,221.538461538462,3.86657557364898,"Precedes Tb",1.41840473709681
"120","Methdilazine",0.565828726884401,0.554168855800977,0.532928601847834,-22,-0.234910226702462,0.237989313433316,TRUE,207.692307692308,3.62491460029591,"Precedes Tb",1.31285354687604
"121","363.22594/5.139",0.565466275115073,0.517775193675528,0.478923739256429,1,-0.23253883832201,0.232819122780489,TRUE,6.92307692307692,0.120830486676531,"Synchronous",1.61748372705923
"122","271.17844/5.043",0.565427141937635,0.557186474771194,0.542214819056737,-20,-0.241254451015582,0.244463885311612,TRUE,221.538461538462,3.86657557364898,"Precedes Tb",1.68713987004603
"123","333.17888/8.28",0.564774318690283,0.52818399785889,0.46797254779031,-18,-0.233695597345338,0.229615674256699,TRUE,235.384615384615,4.10823654700204,"Precedes Tb",1.51763723719341
"124","326.13426/8.219",0.563668853607822,0.535544518722978,0.50575199559973,-18,-0.236497109423963,0.236393551245415,TRUE,235.384615384615,4.10823654700204,"Precedes Tb",1.50554922917006
"125","Np-008952",0.562743695165452,0.519704167706573,0.457478855178288,-1,-0.232009596514314,0.229922276457878,TRUE,353.076923076923,6.16235482050306,"Synchronous",1.54401173431042
