date,time,datetime,Tb,ID,Sample_nr
29/05/2023,14:46:37,29/05/2023 14:46,8.72,H089,
29/05/2023,15:01:37,29/05/2023 15:01,8.72,H089,
29/05/2023,15:16:37,29/05/2023 15:16,8.74,H089,
29/05/2023,15:31:37,29/05/2023 15:31,8.76,H089,
29/05/2023,15:46:37,29/05/2023 15:46,8.75,H089,
29/05/2023,16:01:37,29/05/2023 16:01,8.74,H089,
29/05/2023,16:16:37,29/05/2023 16:16,8.73,H089,
29/05/2023,16:31:36,29/05/2023 16:31,8.73,H089,
29/05/2023,16:46:36,29/05/2023 16:46,8.71,H089,
29/05/2023,17:01:36,29/05/2023 17:01,8.68,H089,
29/05/2023,17:16:36,29/05/2023 17:16,8.64,H089,
29/05/2023,17:31:36,29/05/2023 17:31,8.63,H089,
29/05/2023,17:46:36,29/05/2023 17:46,8.6,H089,
29/05/2023,18:01:36,29/05/2023 18:01,8.59,H089,
29/05/2023,18:16:36,29/05/2023 18:16,8.57,H089,
29/05/2023,18:31:35,29/05/2023 18:31,8.55,H089,
29/05/2023,18:46:35,29/05/2023 18:46,8.55,H089,
29/05/2023,19:01:35,29/05/2023 19:01,8.56,H089,
29/05/2023,19:16:35,29/05/2023 19:16,8.52,H089,
29/05/2023,19:31:35,29/05/2023 19:31,8.55,H089,
29/05/2023,19:46:35,29/05/2023 19:46,8.52,H089,
29/05/2023,20:01:35,29/05/2023 20:01,8.52,H089,
29/05/2023,20:16:35,29/05/2023 20:16,8.53,H089,
29/05/2023,20:31:35,29/05/2023 20:31,8.58,H089,
29/05/2023,20:46:34,29/05/2023 20:46,8.61,H089,
29/05/2023,21:01:34,29/05/2023 21:01,8.62,H089,
29/05/2023,21:16:34,29/05/2023 21:16,8.65,H089,
29/05/2023,21:31:34,29/05/2023 21:31,8.65,H089,
29/05/2023,21:46:34,29/05/2023 21:46,8.66,H089,
29/05/2023,22:01:34,29/05/2023 22:01,8.68,H089,
29/05/2023,22:16:34,29/05/2023 22:16,8.72,H089,
29/05/2023,22:31:34,29/05/2023 22:31,8.74,H089,
29/05/2023,22:46:33,29/05/2023 22:46,8.79,H089,
29/05/2023,23:01:33,29/05/2023 23:01,8.83,H089,
29/05/2023,23:16:33,29/05/2023 23:16,8.87,H089,
29/05/2023,23:31:33,29/05/2023 23:31,8.9,H089,
29/05/2023,23:46:33,29/05/2023 23:46,8.92,H089,
30/05/2023,00:01:33,30/05/2023 00:01,8.95,H089,
30/05/2023,00:16:33,30/05/2023 00:16,8.93,H089,
30/05/2023,00:31:33,30/05/2023 00:31,8.97,H089,
30/05/2023,00:46:32,30/05/2023 00:46,8.98,H089,
